Nieruchomix,Kazimierza Wielkiego,Artur Wochniak,biuro nieruchomości Krzysztofa Golke,2010-01-06
Obserwatikus Młodzieńczy,Plac Bohaterów,Małgorzata Bukowicz,Firma LUG,2010-04-07
Odpadek,Krawiecka,Artur Wochniak,miasto Zielona Góra,2010-07-08
Aldemedus,Aleja Niepodległości,Artur Wochniak,Aldemed,2010-10-09
Artemida,Pod Filarami,Andrzej Moskaluk,Myśliwi i sympatycy łowiectwa,2011-01-10
Artifex ZOKus,Festiwalowa,Robert Tomak,Zielonogórski Ośrodek Kultury,2011-04-11
Beczkus,Stefana Żeromskiego,Małgorzata Bukowicz,firma LUG,2011-07-12
Belferus Zenepus,Generała Władysława Sikorskiego,Artur Wochniak,Związek Nauczycielstwa Polskiego,2011-10-13
Brukus,Stefana Żeromskiego,Artur Wochniak,Firma Capri-bis,2012-01-14
Canishuberticus,Pod Filarami,Andrzej Moskaluk,Myśliwi,2012-04-15
Ciekawek,Stary Rynek,Artur Wochniak,miasto Zielona Góra,2012-07-16
Ciepłolubikus,Plac Powstańców Wielkopolskich,Artur Wochniak,Elektrociepłownia Zielona Góra,2012-10-17
Clubikus,Krawiecka,Artur Wochniak,Czar PRL-u,2013-01-18
Czasuś,Jedności 4a,Robert Tomak,Zegarmistrz Wiesław Pierzyna,2013-04-19
Degustikus,Pod Topolami,Artur Wochniak,Restauracja Ramzes,2013-07-20
Expertus,Jana Sobieskiego,Artur Wochniak,ADB,2013-10-21
Huberticus,Pod Filarami,Andrzej Moskaluk,Myśliwi i sympatycy łowiectwa,2014-01-22
Hubertus Wagnerus,Sulechowska,Artur Wochniak,Fundacja Huberta Jerzego Wagnera,2014-04-23
Informatikus Ekonomikus,Stefana Żeromskiego,Artur Wochniak,Polskie Towarzystwo Ekonomiczne; ITSerwis; ProAlpha,2014-07-24
Jubilerus,Kupiecka,Robert Tomak,Jubiler Blicharski,2014-10-25
Kredytus,Aleja Niepodległości,Artur Wochniak,Kredyt Bank,2015-01-26
MZKus,Stary Rynek,Artur Wochniak,Energo Invest Broker S.A.,2015-04-27
Magikus Zamiennikus,Aleja Niepodległości,Artur Wochniak,Firma Gazstal,2015-07-28
Makusynus Cudakus Wspaniały,Aleja Niepodległości,Artur Wochniak,miasto Zielona Góra,2015-10-29
Meloman,Aleja Plac Powstańców Wielkopolskich,Robert Tomak,Filharmonia Zielonogórska,2016-01-31
Naftikus,Bohaterów Westerplatte,Robert Tomak,Aldemed,2016-05-02
PCKiusz,Jedności,Artur Wochniak,Lubuski Oddział Okręgowy Polskiego Czerwonego Krzyża,2016-08-03
Palmix,Grzegorza Zarugiewicza,Artur Wochniak,Zielonogórska Palmiarnia,2016-11-04
Partnerus Turistikus,Stary Rynek,Artur Wochniak,projekt euroregionalny,2017-02-05
Piloticus,Adama Mickiewicza,Małgorzata Bukowicz,Firma LUG Light Factory,2017-05-06
Polporek,Adama Mickiewicza,Artur Wochniak,Manufaktura zegarków Polpora,2017-08-07
Pomaguś,Aleja Niepodległości,Robert Tomak,Stowarzyszenie,2017-11-08
Pędzibeczek,Stary Rynek,Robert Tomak,miasto Zielona Góra,2018-02-09
Questina,Aleja Niepodległości,Robert Tomak,dyrektor Quest Europe Marzena Więcek,2018-05-10
RODuś Ogrodnikus,Pod Filarami,Robert Tomak,Polski Związek Działkowców,2018-08-11
Rzepikus Rogalikus,Plac Pocztowy,Robert Tomak,Piekarnia Rzepka,2018-11-12
Silvanus,Kazimierza Wielkiego,Artur Wochniak,Lasy Państwowe,2019-02-13
Skarboniusz,Stary Rynek,Artur Wochniak,Bank BGŻ BNP Paribas,2019-05-14
Skrybikus Młodszy,Stefana Żeromskiego,Robert Tomak,Stowarzyszenie Dialog Współpraca Rozwój i miesięcznik Puls,2019-08-15
Sokolnicus,Pod Filarami,Andrzej Moskaluk,Myśliwi i miłośnicy nadodrzańskich borów i lasów,2019-11-16
Strażakus,Jana Kasprowicza,Artur Wochniak,OSP Kisielin,2020-02-17
Syndromus Downus,Aleja Niepodległości,Artur Wochniak,Stowarzyszenie Syndrom,2020-05-18
Transportikus,Pod Filarami,Artur Wochniak,firma transportowa Francepol,2020-08-19
UZetikus,Licealna,Robert Tomak,Uniwersytet Zielonogórski,2020-11-20
Wiatrakus,Fryderyka Chopina,Artur Wochniak,Firma BIS,2021-02-21
Wiertikus Mocarny,Plac Powstańców Wielkopolskich,Artur Wochniak,Diament,2021-05-22
Winolubikus,Kupiecka,Robert Tomak,sieć sklepów AS,2021-08-23
Yorickus,Aleja Niepodległości,Robert Tomak,Lubuski Teatr,2021-11-24
ZLOPikus,Kupiecka,Artur Wochniak,Związek Lubuskich Organizacji Pozarządowych,2022-02-26
Złotorogus,Pod Filarami,Andrzej Moskaluk,Myśliwi i pracownicy salonu myśliwskiego,2022-05-27
Śpioch,Stary Rynek,Artur Wochniak,miasto Zielona Góra,2022-08-28